playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","7.133","null","null","163","163","null","null","0.2502","null","null","null","7.8153","4.93","4.8473","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","0.5628","null","null","391","391","null","null","0.1003","null","null","null","1.0362","0","4.1439","null",
"2495443","null","Ryan Mallett","QB","HOU","QB","HOU","null","5.269","null","null","220","220","null","null","3.3462","null","null","null","12.7459","0.056","9.0636","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","null","14.6085","null","null","39","39","null","null","0.1367","null","null","null","16.0742","11.32","5.8349","null",
"2495449","null","Tandon Doss","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","null","15.1467","null","null","34","34","null","null","0.1255","null","null","null","16.5194","12.02","5.899","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","null","15.8316","null","null","31","31","null","null","0.3533","null","null","null","18.3608","13.5954","6.273","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","null","17.4363","null","null","17","17","null","null","0.2377","null","null","null","18.8847","15.01","2.8119","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","null","7.7585","null","null","142","142","null","null","0.0559","null","null","null","8.8356","4.5406","3.7207","null",
"2495461","null","Shaun Draughn","RB","CLE","RB","CLE","null","0.5231","null","null","396","396","null","null","0.048","null","null","null","1.1342","-0.0491","5.1397","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","null","13.3393","null","null","53","53","null","null","0.6069","null","null","null","15.7936","8.6422","6.0663","null",
"2495468","null","Mikel Leshoure","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"2495469","null","Dion Lewis","RB","NE","RB","NE","null","13.4505","null","null","51","51","null","null","0.3955","null","null","null","15.386","11.27","4.2615","null",
"2495470","null","Stevan Ridley","RB","NYJ","RB","NYJ","null","0.0068","null","null","470","470","null","null","0.0034","null","null","null","0.0123","0","6.3421","null",
"2495471","null","Jacquizz Rodgers","RB","CHI","RB","CHI","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
