playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
497240,null,Rob Gronkowski,TE,NE,TE,NE,null,15.9863,null,null,34,34,null,null,4.2375,null,null,null,17.4647,14.18,8.0972,null
497242,null,Clay Harbor,TE,JAC,TE,JAC,null,3.2465,null,null,315,315,null,null,0.1249,null,null,null,4.3678,1.46,3.7345,null
497246,null,Michael Hoomanawanui,TE,NE,TE,NE,null,0.8849,null,null,426,426,null,null,0.0235,null,null,null,1.2989,0.1995,4.5474,null
497250,null,Anthony McCoy,TE,FA,TE,FA,null,0.2706,null,null,497,497,null,null,0.0163,null,null,null,0.3167,0.0751,6.639,null
497254,null,Dennis Pitta,TE,BAL,TE,BAL,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
497256,null,Tony Moeaki,TE,FA,TE,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
497258,null,Andrew Quarless,TE,GB,TE,GB,null,3.4085,null,null,311,311,null,null,0.1501,null,null,null,4.4822,1.6517,2.5347,null
497260,null,Seyi Ajirotutu,WR,PHI,WR,PHI,null,0.2082,null,null,508,508,null,null,0.0133,null,null,null,0.3227,0,7.9708,null
497270,null,Arrelious Benn,WR,JAC,WR,JAC,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
497278,null,Dez Bryant,WR,DAL,WR,DAL,null,17.3522,null,null,23,23,null,null,0.6102,null,null,null,20.1806,14.542,6.3679,null
497282,null,Riley Cooper,WR,PHI,WR,PHI,null,3.5834,null,null,304,304,null,null,0.0796,null,null,null,4.2736,1.5652,3.8676,null
497284,null,Eric Decker,WR,NYJ,WR,NYJ,null,10.0138,null,null,105,105,null,null,0.2785,null,null,null,11.1047,8.148,4.3113,null
497286,null,Marcus Easley,WR,BUF,WR,BUF,null,0.2119,null,null,507,507,null,null,0.0061,null,null,null,0.4355,0,7.5245,null
497288,null,Jacoby Ford,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
497302,null,Brandon LaFell,WR,NE,WR,NE,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
497312,null,Preston Parker,WR,NYG,WR,NYG,null,3.9216,null,null,293,293,null,null,0.0747,null,null,null,5.9954,0.0829,2.9962,null
497320,null,Andre Roberts,WR,WAS,WR,WAS,null,5.3061,null,null,240,240,null,null,0.1425,null,null,null,6.1964,2.9579,3.3586,null
497322,null,Emmanuel Sanders,WR,DEN,WR,DEN,null,13.843,null,null,50,50,null,null,0.641,null,null,null,15.6949,10.602,5.411,null
497326,null,Golden Tate,WR,DET,WR,DET,null,12.4839,null,null,64,64,null,null,0.3942,null,null,null,14.9643,10.19,4.9724,null
497328,null,Demaryius Thomas,WR,DEN,WR,DEN,null,17.645,null,null,22,22,null,null,0.3342,null,null,null,19.7988,14.835,6.0305,null
497336,null,Damian Williams,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
1037347,null,Joe Webb,QB,CAR,QB,CAR,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
1037366,null,Michael Palmer,TE,FA,TE,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
1037847,null,Deji Karim,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
1037885,null,Marc Mariani,WR,CHI,WR,CHI,null,0.2592,null,null,500,500,null,null,0.0239,null,null,null,0.4159,-0.01,7.3581,null
2495139,null,Charles Clay,TE,BUF,TE,BUF,null,6.5268,null,null,207,207,null,null,0.5101,null,null,null,7.7347,4.37,4.5109,null
2495143,null,Andy Dalton,QB,CIN,QB,CIN,null,16.4173,null,null,32,32,null,null,0.7881,null,null,null,17.724,15.2838,2.2857,null
2495150,null,Kai Forbath,K,WAS,K,WAS,null,8.064,null,null,153,153,null,null,0.4171,null,null,null,9.7986,6.3917,2.829,null
2495158,null,Leonard Hankerson,WR,ATL,WR,ATL,null,4.7771,null,null,256,256,null,null,0.2166,null,null,null,7.3983,0.466,5.7162,null
2495159,null,Dwayne Harris,WR,NYG,WR,NYG,null,1.1967,null,null,400,400,null,null,0.1419,null,null,null,1.5813,0.66,7.4971,null
2495161,null,Roy Helu,RB,OAK,RB,OAK,null,5.2664,null,null,242,242,null,null,0.0777,null,null,null,7.6207,1.8,4.5141,null
2495162,null,Alex Henery,K,FA,K,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
2495172,null,Kendall Hunter,RB,SF,RB,SF,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
2495179,null,Jerrel Jernigan,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
2495186,null,Colin Kaepernick,QB,SF,QB,SF,null,17.2128,null,null,26,26,null,null,0.4062,null,null,null,19.3916,14.0467,6.3295,null
2495187,null,Lance Kendricks,TE,STL,TE,STL,null,3.4844,null,null,308,308,null,null,0.1449,null,null,null,4.2371,2.1286,2.5722,null
2495189,null,Jeremy Kerley,WR,NYJ,WR,NYJ,null,3.926,null,null,292,292,null,null,0.0396,null,null,null,5.1627,1.95,4.074,null
2495192,null,Greg Little,WR,CIN,WR,CIN,null,0.2709,null,null,496,496,null,null,0.0174,null,null,null,0.5336,0,7.154,null
2495194,null,Jake Locker,QB,FA,QB,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
2495207,null,DeMarco Murray,RB,PHI,RB,PHI,null,15.2789,null,null,41,41,null,null,0.8591,null,null,null,16.2652,13.82,5.4916,null
2495211,null,Niles Paul,TE,WAS,TE,WAS,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
2495212,null,Austin Pettis,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
2495215,null,Christian Ponder,QB,OAK,QB,OAK,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
2495223,null,Greg Salas,WR,DET,WR,DET,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
2495234,null,Luke Stocker,TE,TB,TE,TB,null,0.3975,null,null,481,481,null,null,0.0645,null,null,null,0.5268,0.11,6.9696,null
2495240,null,Tyrod Taylor,QB,BUF,QB,BUF,null,14.4782,null,null,44,44,null,null,0.7065,null,null,null,16.1716,10.1067,6.6282,null
2495241,null,Daniel Thomas,RB,CHI,RB,CHI,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
2495258,null,Matt Asiata,RB,MIN,RB,MIN,null,2.4639,null,null,345,345,null,null,0.5411,null,null,null,3.2092,1.2,4.9705,null
2495259,null,Dan Bailey,K,DAL,K,DAL,null,9.9719,null,null,109,109,null,null,0.2856,null,null,null,12.9795,7.9487,6.0657,null
2495267,null,Jordan Cameron,TE,MIA,TE,MIA,null,9.9857,null,null,108,108,null,null,0.3079,null,null,null,13.1344,7.023,7.8164,null
2495288,null,Virgil Green,TE,DEN,TE,DEN,null,3.1266,null,null,319,319,null,null,0.1121,null,null,null,4.8216,0.7283,3.2466,null
2495306,null,Ricardo Lockette,WR,SEA,WR,SEA,null,1.6502,null,null,371,371,null,null,0.0799,null,null,null,2.9794,0.2416,7.6636,null
2495314,null,Bruce Miller,RB,SF,RB,SF,null,1.7748,null,null,367,367,null,null,0.0847,null,null,null,2.4769,0.4659,3.0725,null
2495315,null,Denarius Moore,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
2495328,null,Bilal Powell,RB,NYJ,RB,NYJ,null,4.4651,null,null,265,265,null,null,0.109,null,null,null,6.126,2.1952,2.5936,null
2495331,null,Aldrick Robinson,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
2495338,null,Dane Sanzenbacher,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
2495340,null,Anthony Sherman,RB,KC,RB,KC,null,1.1164,null,null,402,402,null,null,0.04,null,null,null,1.5357,0.3255,7.7109,null
2495341,null,Cecil Shorts,WR,HOU,WR,HOU,null,5.8431,null,null,223,223,null,null,0.2402,null,null,null,6.4643,4.9098,3.8235,null
2495347,null,Lee Smith,TE,OAK,TE,OAK,null,1.0892,null,null,407,407,null,null,0.0242,null,null,null,1.7316,0.3294,2.3324,null
2495353,null,Julius Thomas,TE,JAC,TE,JAC,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
2495425,null,Scott Tolzien,QB,GB,QB,GB,null,0.6206,null,null,449,449,null,null,0.0237,null,null,null,1.1387,0,4.0474,null
2495438,null,Kyle Rudolph,TE,MIN,TE,MIN,null,7.8608,null,null,156,156,null,null,0.0784,null,null,null,10.9116,5.002,7.412,null
2495441,null,Blaine Gabbert,QB,SF,QB,SF,null,0.6044,null,null,455,455,null,null,0.0371,null,null,null,1.1005,0,4.2502,null
2495443,null,Ryan Mallett,QB,HOU,QB,HOU,null,1.0413,null,null,412,412,null,null,0.1082,null,null,null,2.0495,0,4.0222,null
2495448,null,Randall Cobb,WR,GB,WR,GB,null,17.2695,null,null,24,24,null,null,1.1912,null,null,null,19.7371,14.56,5.9366,null
